game_id,video_id,exposure_zone,exposure_seconds,total_detections,total_media_value,qi_score_avg,qi_score_std,size_score_avg,size_score_std,sov_weighted_avg,sov_weighted_std,dist_score_avg,dist_score_std,legi_score_avg,legi_score_std,conf_avg,conf_std,laplacian_avg,laplacian_std,dist_raw_pct_avg,dist_raw_pct_std,area_pct_avg,area_pct_std,video_url
22500424,l5ir1TZxJjk,back-court-logo,441.84,2207,902.6944,0.2449,0.1704,0.4781,0.0577,0.9302,0.0246,0.5455,0.3689,1.0,0.0,0.8819,0.0268,986.16,200.03,24.47,18.09,1.411,0.236,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500424,l5ir1TZxJjk,basket-logo,416.02,9418,521.3464,0.0331,0.0329,0.1919,0.0743,0.4515,0.12,0.3863,0.3093,0.9971,0.0398,0.9017,0.0472,2833.79,2223.84,32.92,18.02,0.214,0.106,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500424,l5ir1TZxJjk,mid-court-logo,410.21,2225,858.9312,0.2311,0.2137,0.6212,0.2562,0.886,0.1172,0.3841,0.3083,1.0,0.0,0.8755,0.059,1390.13,379.95,31.07,15.05,2.244,1.475,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500424,l5ir1TZxJjk,side-court-logo,484.48,2508,597.2365,0.1426,0.0926,0.3494,0.0547,0.8884,0.0773,0.465,0.2982,0.997,0.0528,0.8934,0.021,1767.25,343.13,26.25,12.69,0.961,1.517,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500424,l5ir1TZxJjk,side-court-led-logo,293.69,1467,483.1845,0.1972,0.2136,0.4417,0.2574,0.7917,0.2026,0.4341,0.3027,0.9703,0.1528,0.8894,0.0595,717.4,400.66,29.01,15.31,2.153,7.29,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500430,U5T9X6OK6OA,back-court-logo,456.46,2280,1803.0127,0.1927,0.1304,0.367,0.0603,0.8984,0.034,0.563,0.3421,1.0,0.0,0.8945,0.0281,1304.96,314.59,22.52,15.44,0.95,0.249,https://www.youtube.com/watch?v=U5T9X6OK6OA
22500430,U5T9X6OK6OA,basket-logo,450.45,10686,1000.0751,0.0228,0.0314,0.1311,0.1112,0.4426,0.073,0.3323,0.2885,0.9975,0.0466,0.882,0.0376,2300.16,1371.56,34.9,16.53,0.184,0.292,https://www.youtube.com/watch?v=U5T9X6OK6OA
22500430,U5T9X6OK6OA,mid-court-logo,391.99,2161,1726.9607,0.1947,0.1717,0.5302,0.2049,0.8722,0.1202,0.4065,0.3156,0.9741,0.118,0.8582,0.0758,588.05,462.45,30.17,15.52,1.709,1.009,https://www.youtube.com/watch?v=U5T9X6OK6OA
22500430,U5T9X6OK6OA,side-court-led-logo,302.7,1512,721.8748,0.1163,0.126,0.3313,0.1453,0.7669,0.1866,0.3963,0.3093,0.9639,0.1722,0.8968,0.0561,1419.19,1004.4,30.74,15.54,1.0,3.0,https://www.youtube.com/watch?v=U5T9X6OK6OA
22500430,U5T9X6OK6OA,side-court-logo,478.28,2470,1221.4184,0.1205,0.0739,0.2933,0.0519,0.8256,0.1138,0.5224,0.3102,0.9991,0.0275,0.8986,0.024,1942.19,523.7,24.17,13.5,0.676,1.427,https://www.youtube.com/watch?v=U5T9X6OK6OA
