game_id,video_id,exposure_zone,exposure_time_seconds,avg_area_pct,avg_dist_ref_pct,video_url
22500431,11LdwX87xkY,basket-logo,475.68,0.1362,35.13,https://www.youtube.com/watch?v=11LdwX87xkY
22500431,11LdwX87xkY,side-court-led-logo,508.11,1.8526,31.33,https://www.youtube.com/watch?v=11LdwX87xkY
22500431,11LdwX87xkY,side-court-logo,490.89,0.4035,25.01,https://www.youtube.com/watch?v=11LdwX87xkY
22500431,11LdwX87xkY,mid-court-logo,499.1,1.9319,30.99,https://www.youtube.com/watch?v=11LdwX87xkY
22500431,11LdwX87xkY,back-court-logo,459.66,1.223,24.68,https://www.youtube.com/watch?v=11LdwX87xkY
22500409,IrpfL0OcIuI,basket-logo,487.49,0.1741,35.09,https://www.youtube.com/watch?v=IrpfL0OcIuI
22500409,IrpfL0OcIuI,side-court-led-logo,530.13,0.845,29.58,https://www.youtube.com/watch?v=IrpfL0OcIuI
22500409,IrpfL0OcIuI,back-court-logo,488.29,0.7418,25.87,https://www.youtube.com/watch?v=IrpfL0OcIuI
22500409,IrpfL0OcIuI,side-court-logo,526.93,0.66,24.19,https://www.youtube.com/watch?v=IrpfL0OcIuI
22500409,IrpfL0OcIuI,mid-court-logo,523.52,2.1289,34.56,https://www.youtube.com/watch?v=IrpfL0OcIuI
22500424,l5ir1TZxJjk,basket-logo,413.21,0.2178,32.8,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500424,l5ir1TZxJjk,mid-court-logo,421.82,2.2853,31.25,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500424,l5ir1TZxJjk,side-court-logo,485.29,1.0373,25.98,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500424,l5ir1TZxJjk,back-court-logo,442.84,1.4186,23.82,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500424,l5ir1TZxJjk,side-court-led-logo,292.89,2.23,29.53,https://www.youtube.com/watch?v=l5ir1TZxJjk
22500430,U5T9X6OK6OA,side-court-led-logo,298.3,1.0056,31.5,https://www.youtube.com/watch?v=U5T9X6OK6OA
22500430,U5T9X6OK6OA,basket-logo,448.05,0.191,34.34,https://www.youtube.com/watch?v=U5T9X6OK6OA
22500430,U5T9X6OK6OA,back-court-logo,454.05,0.9617,21.6,https://www.youtube.com/watch?v=U5T9X6OK6OA
22500430,U5T9X6OK6OA,side-court-logo,477.88,0.6847,23.69,https://www.youtube.com/watch?v=U5T9X6OK6OA
22500430,U5T9X6OK6OA,mid-court-logo,390.99,1.7792,29.78,https://www.youtube.com/watch?v=U5T9X6OK6OA
22500413,liAwHhl5zPk,side-court-led-logo,498.3,1.1732,27.03,https://www.youtube.com/watch?v=liAwHhl5zPk
22500413,liAwHhl5zPk,basket-logo,458.06,0.2385,34.55,https://www.youtube.com/watch?v=liAwHhl5zPk
22500413,liAwHhl5zPk,mid-court-logo,300.9,2.489,27.99,https://www.youtube.com/watch?v=liAwHhl5zPk
22500413,liAwHhl5zPk,back-court-logo,468.07,1.955,23.0,https://www.youtube.com/watch?v=liAwHhl5zPk
22500413,liAwHhl5zPk,side-court-logo,0.4,0.5256,29.72,https://www.youtube.com/watch?v=liAwHhl5zPk
22500427,FPv3NJdeBL0,basket-logo,495.5,0.1962,37.34,https://www.youtube.com/watch?v=FPv3NJdeBL0
22500427,FPv3NJdeBL0,side-court-logo,473.67,0.3958,25.05,https://www.youtube.com/watch?v=FPv3NJdeBL0
22500427,FPv3NJdeBL0,mid-court-logo,416.02,2.0585,27.21,https://www.youtube.com/watch?v=FPv3NJdeBL0
22500427,FPv3NJdeBL0,side-court-led-logo,364.56,1.9401,25.79,https://www.youtube.com/watch?v=FPv3NJdeBL0
22500427,FPv3NJdeBL0,back-court-logo,511.51,1.7894,25.88,https://www.youtube.com/watch?v=FPv3NJdeBL0
22500427,ChXOrBUSjQE,basket-logo,496.0,0.198,37.53,https://www.youtube.com/watch?v=ChXOrBUSjQE
22500427,ChXOrBUSjQE,side-court-logo,469.4,0.3983,24.55,https://www.youtube.com/watch?v=ChXOrBUSjQE
22500427,ChXOrBUSjQE,side-court-led-logo,364.8,1.9426,25.98,https://www.youtube.com/watch?v=ChXOrBUSjQE
22500427,ChXOrBUSjQE,mid-court-logo,416.8,2.082,27.11,https://www.youtube.com/watch?v=ChXOrBUSjQE
22500427,ChXOrBUSjQE,back-court-logo,512.6,1.8038,25.95,https://www.youtube.com/watch?v=ChXOrBUSjQE
22500428,2jiqv7eR_Bo,mid-court-logo,298.7,1.8499,27.35,https://www.youtube.com/watch?v=2jiqv7eR_Bo
22500428,2jiqv7eR_Bo,side-court-logo,544.54,1.0265,28.51,https://www.youtube.com/watch?v=2jiqv7eR_Bo
22500428,2jiqv7eR_Bo,side-court-led-logo,467.87,1.9691,31.48,https://www.youtube.com/watch?v=2jiqv7eR_Bo
22500428,2jiqv7eR_Bo,back-court-logo,518.92,2.071,25.01,https://www.youtube.com/watch?v=2jiqv7eR_Bo
22500428,2jiqv7eR_Bo,basket-logo,502.3,0.185,35.66,https://www.youtube.com/watch?v=2jiqv7eR_Bo
22500428,hAG7gWbARWM,mid-court-logo,303.6,1.8899,27.2,https://www.youtube.com/watch?v=hAG7gWbARWM
22500428,hAG7gWbARWM,side-court-logo,552.4,1.0269,28.29,https://www.youtube.com/watch?v=hAG7gWbARWM
22500428,hAG7gWbARWM,side-court-led-logo,472.6,2.0824,31.32,https://www.youtube.com/watch?v=hAG7gWbARWM
22500428,hAG7gWbARWM,back-court-logo,524.0,2.0791,25.01,https://www.youtube.com/watch?v=hAG7gWbARWM
22500428,hAG7gWbARWM,basket-logo,507.2,0.1857,35.8,https://www.youtube.com/watch?v=hAG7gWbARWM
22500420,FWhMT0oLWyE,basket-logo,520.12,0.1699,31.99,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,FWhMT0oLWyE,side-court-led-logo,555.16,1.8847,33.3,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,FWhMT0oLWyE,side-court-logo,570.97,0.7136,26.1,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,FWhMT0oLWyE,back-court-logo,516.12,1.1562,22.59,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,FWhMT0oLWyE,mid-court-logo,457.26,1.6166,31.26,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,n4gGy5XSDD4,basket-logo,519.6,0.1733,32.67,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500420,n4gGy5XSDD4,side-court-led-logo,554.8,1.8904,32.75,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500420,n4gGy5XSDD4,side-court-logo,567.8,0.7245,25.58,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500420,n4gGy5XSDD4,back-court-logo,518.2,1.1908,22.75,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500420,n4gGy5XSDD4,mid-court-logo,450.4,1.6322,30.82,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500423,fSLyYkYg2Fc,basket-logo,454.65,0.1929,31.2,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,fSLyYkYg2Fc,side-court-led-logo,502.5,0.9765,26.03,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,fSLyYkYg2Fc,mid-court-logo,451.65,1.1474,32.2,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,fSLyYkYg2Fc,back-court-logo,462.26,1.1705,20.01,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,fSLyYkYg2Fc,side-court-logo,501.7,0.8053,23.86,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,9v08m-YNQhU,basket-logo,454.8,0.196,31.32,https://www.youtube.com/watch?v=9v08m-YNQhU
22500423,9v08m-YNQhU,side-court-led-logo,502.2,1.0096,25.92,https://www.youtube.com/watch?v=9v08m-YNQhU
22500423,9v08m-YNQhU,back-court-logo,460.8,1.1662,19.91,https://www.youtube.com/watch?v=9v08m-YNQhU
22500423,9v08m-YNQhU,mid-court-logo,452.2,1.1948,31.87,https://www.youtube.com/watch?v=9v08m-YNQhU
