game_id,title,url,video_id,channel,duration,view_count,like_count,comment_count
22500050,"Toronto Raptors vs Washington Wizards Full Game Highlights - November 21, 2025 | NBA Season",https://www.youtube.com/watch?v=qCZWwFr0pA0,qCZWwFr0pA0,GAMETIME HIGHLIGHTS,569,18970,220,6.0
22500049,"Boston Celtics vs Brooklyn Nets Full Game Highlights - November 21, 2025 | NBA Season",https://www.youtube.com/watch?v=qSBc8l9PaNc,qSBc8l9PaNc,GAMETIME HIGHLIGHTS,573,53338,523,69.0
22500049,Boston Celtics vs Brooklyn Nets  FULLGAME Qtr Nov 21.2025 Highlights | NBA HIGHLIGHT,https://www.youtube.com/watch?v=ML9M5PvwKD4,ML9M5PvwKD4,Mây Trắng Review,769,3046,12,
22500055,"Oklahoma City Thunder vs Utah Jazz Full Game Highlights - November 21, 2025 | NBA Season",https://www.youtube.com/watch?v=Slm2bcNEtQ4,Slm2bcNEtQ4,GAMETIME HIGHLIGHTS,567,102008,937,117.0
22500055,Oklahoma City Thunder vs Utah Jazz | Full Game Highlights | November 21 | 2025-26 NBA Season,https://www.youtube.com/watch?v=wx7dYcJpYQ8,wx7dYcJpYQ8,The CCB Network,601,5827,95,3.0
22500254,"Phoenix Suns vs Portland Trail Blazers Full Game Highlights - November 18, 2025 | NBA Season",https://www.youtube.com/watch?v=ufHTyCB3kEQ,ufHTyCB3kEQ,,550,4728,106,3.0
22500254,Phoenix Suns vs Portland Trail Blazers Full Game Highlights (November 18 2025) NBA,https://www.youtube.com/watch?v=zgBXRPj-c8A,zgBXRPj-c8A,Basket Club,477,1365,11,
22500248,"Chicago Bulls vs Denver Nuggets - FULL GAME HIGHLIGHTS | November 17, 2025 NBA Season",https://www.youtube.com/watch?v=6B8CSUezAe0,6B8CSUezAe0,Ximo Pierto,565,13059,254,14.0
22500248,"Denver Nuggets vs Chicago Bulls Full Game Highlights | Nov 17, 2025 | FreeDawkins",https://www.youtube.com/watch?v=wgE85ARs1vU,wgE85ARs1vU,,658,45808,1081,79.0
22500248,Denver Nuggets vs Chicago Bulls Full Game Highlights | Nov 17 | 2026 NBA Season,https://www.youtube.com/watch?v=qX3BuH6Bfac,qX3BuH6Bfac,Hooper Highlights,591,5612,208,6.0
22500256,"Indiana Pacers vs Charlotte Hornets Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=e3bmXlMGvQM,e3bmXlMGvQM,GAMETIME HIGHLIGHTS,558,28212,354,23.0
22500256,Charlotte Hornets vs Indiana Pacers Full Game Highlights | Nov 19 | 2026 NBA Season,https://www.youtube.com/watch?v=6fs97jNcbVY,6fs97jNcbVY,Hooper Highlights,599,1446,49,1.0
