epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7881,1.45651,1.98543,2.26434,0.82681,0.82362,0.87072,0.6331,0.91673,0.85428,2.08106,0.000368047,0.000368047,0.000368047
2,190.386,1.04717,0.94345,2.01209,0.88754,0.85248,0.90956,0.67447,0.87273,0.7422,2.02118,0.000723761,0.000723761,0.000723761
3,282.891,0.98887,0.82492,1.99038,0.89893,0.8621,0.92801,0.6912,0.84955,0.72688,1.98477,0.00106481,0.00106481,0.00106481
4,375.367,0.96755,0.7646,1.9572,0.92914,0.89011,0.95103,0.73699,0.82714,0.62235,2.00988,0.00104501,0.00104501,0.00104501
5,467.041,0.92212,0.71318,1.90861,0.93161,0.91242,0.94484,0.71779,0.82706,0.63933,1.95272,0.00102301,0.00102301,0.00102301
6,559.597,0.89523,0.67597,1.8891,0.9359,0.91247,0.9565,0.74412,0.80673,0.6018,1.93091,0.00100101,0.00100101,0.00100101
7,652.51,0.87443,0.64707,1.84728,0.93213,0.91582,0.95705,0.74911,0.76342,0.57682,1.9269,0.000979013,0.000979013,0.000979013
8,744.221,0.85072,0.62151,1.84072,0.95764,0.91097,0.96519,0.77472,0.77123,0.56219,1.91189,0.000957015,0.000957015,0.000957015
9,835.654,0.85377,0.6127,1.85111,0.91588,0.92612,0.96211,0.78862,0.71534,0.53412,1.91688,0.000935018,0.000935018,0.000935018
10,927.143,0.81923,0.581,1.82295,0.94619,0.92351,0.96863,0.77084,0.74204,0.52692,1.91352,0.00091302,0.00091302,0.00091302
11,1018.83,0.81746,0.5787,1.80869,0.94151,0.92391,0.96812,0.78667,0.71936,0.53327,1.91685,0.000891022,0.000891022,0.000891022
12,1109.39,0.79216,0.55984,1.78299,0.93217,0.93074,0.9644,0.78242,0.71373,0.52457,1.91351,0.000869024,0.000869024,0.000869024
13,1200.43,0.77187,0.54825,1.77704,0.95573,0.92664,0.97195,0.79699,0.70205,0.50365,1.87369,0.000847026,0.000847026,0.000847026
14,1291.26,0.76073,0.52673,1.77849,0.96133,0.9208,0.96561,0.79758,0.69024,0.50505,1.89833,0.000825029,0.000825029,0.000825029
15,1381.92,0.75681,0.52362,1.76963,0.94393,0.9367,0.97222,0.80128,0.708,0.50972,1.91288,0.000803031,0.000803031,0.000803031
16,1473.38,0.75715,0.51935,1.77481,0.95012,0.93599,0.97329,0.79807,0.70906,0.5072,1.87746,0.000781033,0.000781033,0.000781033
17,1563.83,0.75186,0.51733,1.7576,0.95852,0.92106,0.96901,0.79987,0.68976,0.51159,1.85759,0.000759035,0.000759035,0.000759035
18,1654.28,0.73729,0.51211,1.74877,0.96801,0.92918,0.97479,0.81112,0.68427,0.48162,1.85162,0.000737037,0.000737037,0.000737037
19,1745.01,0.73206,0.50102,1.71851,0.96608,0.9215,0.97437,0.81108,0.67905,0.48299,1.87883,0.00071504,0.00071504,0.00071504
20,1835.27,0.72619,0.49804,1.73671,0.9532,0.93325,0.97346,0.81568,0.6655,0.48598,1.8658,0.000693042,0.000693042,0.000693042
21,1929.98,0.70669,0.48269,1.6881,0.94866,0.94217,0.97534,0.81856,0.66304,0.46633,1.87374,0.000671044,0.000671044,0.000671044
22,25965.1,0.70153,0.46931,1.70669,0.96739,0.93417,0.97657,0.82216,0.65128,0.46213,1.84401,0.000649046,0.000649046,0.000649046
23,26040.4,0.68211,0.46605,1.67533,0.95474,0.94982,0.97341,0.82216,0.65189,0.45334,1.88429,0.000627048,0.000627048,0.000627048
24,26112.4,0.67891,0.45385,1.65587,0.96331,0.93785,0.97589,0.83101,0.64374,0.45559,1.82364,0.000605051,0.000605051,0.000605051
25,26183.9,0.67323,0.44869,1.67578,0.96405,0.93729,0.9753,0.82481,0.63617,0.45557,1.82703,0.000583053,0.000583053,0.000583053
26,26254.8,0.66215,0.44574,1.66397,0.95316,0.94254,0.97585,0.82057,0.65367,0.45558,1.86732,0.000561055,0.000561055,0.000561055
27,26326.3,0.67314,0.45145,1.67962,0.95055,0.95131,0.97924,0.82765,0.64855,0.45103,1.84578,0.000539057,0.000539057,0.000539057
28,26398.9,0.66192,0.44353,1.65185,0.95372,0.94437,0.97874,0.82925,0.63696,0.44857,1.85515,0.000517059,0.000517059,0.000517059
