epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.113,1.61376,2.44815,2.27383,0.8096,0.77569,0.8424,0.58914,1.01374,1.00085,2.30496,0.000368463,0.000368463,0.000368463
2,141.264,1.08843,0.98369,2.00865,0.86626,0.85826,0.89259,0.6477,0.97922,0.81957,2.09752,0.000724168,0.000724168,0.000724168
3,210.259,1.01514,0.83085,1.98259,0.90708,0.85378,0.92381,0.69783,0.88565,0.72773,2.1468,0.00106521,0.00106521,0.00106521
4,1260.57,0.98747,0.77467,1.95228,0.90974,0.87652,0.93942,0.72191,0.87747,0.70816,2.12071,0.00104501,0.00104501,0.00104501
5,4538.74,0.9364,0.71295,1.90988,0.9024,0.87541,0.93922,0.72202,0.85318,0.66104,2.08574,0.00102301,0.00102301,0.00102301
6,4600.88,0.92411,0.69335,1.89691,0.92902,0.89352,0.94801,0.73679,0.84574,0.64248,2.03442,0.00100101,0.00100101,0.00100101
7,4663.94,0.91942,0.67328,1.86963,0.94386,0.90131,0.9551,0.75261,0.8167,0.61092,2.02004,0.000979013,0.000979013,0.000979013
8,4726.41,0.87735,0.64359,1.86527,0.94942,0.90843,0.95786,0.76551,0.79074,0.59699,2.05502,0.000957015,0.000957015,0.000957015
9,4789.67,0.857,0.61242,1.83901,0.9507,0.90848,0.95966,0.75939,0.79784,0.58374,1.975,0.000935018,0.000935018,0.000935018
10,4860.81,0.83286,0.59532,1.82342,0.9381,0.91212,0.9648,0.76681,0.78841,0.57382,1.9892,0.00091302,0.00091302,0.00091302
11,4928.57,0.82091,0.58237,1.82231,0.93634,0.90722,0.96208,0.76741,0.7695,0.57715,2.00562,0.000891022,0.000891022,0.000891022
12,4995.21,0.83188,0.58574,1.81615,0.9474,0.92251,0.96889,0.78355,0.75427,0.54898,2.01136,0.000869024,0.000869024,0.000869024
13,5062.06,0.80483,0.55836,1.8072,0.95618,0.91671,0.96741,0.7817,0.75511,0.55279,1.97905,0.000847026,0.000847026,0.000847026
14,5128.09,0.79536,0.55383,1.78876,0.94775,0.91428,0.968,0.78454,0.76536,0.54764,1.97192,0.000825029,0.000825029,0.000825029
15,5197.93,0.80054,0.55321,1.809,0.94658,0.91408,0.96905,0.78283,0.74361,0.5393,1.96258,0.000803031,0.000803031,0.000803031
16,5266.51,0.77487,0.53222,1.7668,0.96375,0.91627,0.97044,0.80046,0.72697,0.52042,1.9391,0.000781033,0.000781033,0.000781033
17,5335.71,0.77694,0.52846,1.77102,0.96618,0.91025,0.96989,0.79813,0.72996,0.52483,1.96388,0.000759035,0.000759035,0.000759035
18,5403.69,0.75531,0.5225,1.76355,0.95147,0.92657,0.97022,0.80403,0.71941,0.51759,1.96355,0.000737037,0.000737037,0.000737037
19,5471.86,0.75558,0.51582,1.71854,0.93752,0.9216,0.96897,0.79051,0.72725,0.53302,1.98593,0.00071504,0.00071504,0.00071504
20,5538.6,0.74347,0.50389,1.74577,0.95774,0.9237,0.97134,0.80738,0.70313,0.50818,1.97247,0.000693042,0.000693042,0.000693042
21,5606.34,0.74438,0.50618,1.7351,0.95334,0.93258,0.97455,0.80846,0.70217,0.51252,1.95144,0.000671044,0.000671044,0.000671044
22,5673.61,0.72173,0.48739,1.73157,0.95009,0.9283,0.97153,0.80538,0.70306,0.5085,1.95823,0.000649046,0.000649046,0.000649046
23,5741.35,0.71804,0.48989,1.70099,0.95794,0.93353,0.97498,0.81057,0.69848,0.49979,1.94362,0.000627048,0.000627048,0.000627048
24,5808.14,0.71325,0.48317,1.69442,0.95407,0.93678,0.97741,0.81785,0.68493,0.4885,1.94838,0.000605051,0.000605051,0.000605051
25,5875.17,0.70275,0.46936,1.69784,0.95805,0.93355,0.97477,0.81423,0.68266,0.49253,1.9462,0.000583053,0.000583053,0.000583053
26,5942.2,0.69686,0.46636,1.67221,0.95129,0.93379,0.9731,0.81993,0.67516,0.47938,1.91858,0.000561055,0.000561055,0.000561055
27,6010.03,0.69943,0.47052,1.68461,0.95084,0.94906,0.98023,0.82122,0.67301,0.47109,1.91717,0.000539057,0.000539057,0.000539057
28,6077.11,0.69574,0.46757,1.68514,0.9488,0.93377,0.97508,0.82101,0.67452,0.48138,1.89392,0.000517059,0.000517059,0.000517059
29,6143.59,0.68321,0.45349,1.66556,0.96811,0.93551,0.97838,0.82184,0.67883,0.46854,1.92969,0.000495062,0.000495062,0.000495062
