epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2284,1.72166,2.68669,2.27021,0.81198,0.76172,0.82137,0.55996,1.08501,1.05741,2.22088,0.000368463,0.000368463,0.000368463
2,116.186,1.16424,1.09222,1.9748,0.86963,0.80649,0.87481,0.616,1.00891,0.88561,2.14049,0.000724168,0.000724168,0.000724168
3,244.529,1.06211,0.89875,1.93763,0.90257,0.85427,0.90983,0.65417,0.95784,0.76571,2.10098,0.00106521,0.00106521,0.00106521
4,293.011,1.02777,0.84577,1.9357,0.89051,0.86671,0.91935,0.68585,0.91656,0.73949,2.07712,0.00104501,0.00104501,0.00104501
5,336.89,0.97086,0.77615,1.87427,0.92291,0.88258,0.93852,0.71458,0.85924,0.67794,2.08912,0.00102301,0.00102301,0.00102301
6,379.145,0.95013,0.7359,1.86497,0.90303,0.88346,0.94233,0.72252,0.858,0.68333,2.03884,0.00100101,0.00100101,0.00100101
7,421.304,0.93635,0.71354,1.84719,0.93873,0.88583,0.94745,0.73743,0.83198,0.64649,1.98624,0.000979013,0.000979013,0.000979013
8,463.402,0.8965,0.67625,1.83032,0.94048,0.89539,0.95097,0.74425,0.82028,0.62154,2.03124,0.000957015,0.000957015,0.000957015
9,505.904,0.90176,0.66928,1.82393,0.93374,0.89495,0.95248,0.75058,0.80649,0.6282,1.96055,0.000935018,0.000935018,0.000935018
10,548.168,0.87198,0.64365,1.79602,0.94437,0.90708,0.96388,0.7614,0.80496,0.59137,1.9492,0.00091302,0.00091302,0.00091302
11,590.198,0.85169,0.62061,1.80053,0.95263,0.90067,0.96328,0.76237,0.78579,0.57307,1.96603,0.000891022,0.000891022,0.000891022
12,632.019,0.84906,0.61884,1.78839,0.94083,0.91593,0.96312,0.76874,0.7903,0.57811,1.9566,0.000869024,0.000869024,0.000869024
13,674.007,0.83229,0.59441,1.78597,0.95196,0.91358,0.96767,0.78367,0.76351,0.56957,1.9452,0.000847026,0.000847026,0.000847026
14,715.691,0.82567,0.59304,1.76888,0.95767,0.90526,0.96507,0.7843,0.76071,0.5605,1.95987,0.000825029,0.000825029,0.000825029
15,757.685,0.82361,0.5955,1.80508,0.94175,0.90203,0.95924,0.77038,0.75821,0.57851,1.9622,0.000803031,0.000803031,0.000803031
16,799.38,0.8085,0.57934,1.74856,0.94017,0.91282,0.96779,0.78894,0.73531,0.54606,1.93337,0.000781033,0.000781033,0.000781033
17,7493.24,0.81016,0.57058,1.7691,0.94164,0.90955,0.96363,0.77618,0.76208,0.57177,1.94815,0.000759035,0.000759035,0.000759035
18,7540.5,0.78663,0.55826,1.74485,0.95216,0.9161,0.96794,0.78835,0.73335,0.54719,1.92098,0.000737037,0.000737037,0.000737037
19,7588.52,0.77736,0.54997,1.71051,0.95482,0.91851,0.96992,0.7994,0.73174,0.54602,1.91967,0.00071504,0.00071504,0.00071504
20,7635.08,0.76497,0.5417,1.71941,0.95707,0.91891,0.9676,0.79694,0.73659,0.54284,1.9357,0.000693042,0.000693042,0.000693042
21,7677.72,0.77479,0.54722,1.71791,0.95075,0.92921,0.97117,0.79988,0.72434,0.52904,1.90946,0.000671044,0.000671044,0.000671044
22,7962.1,0.75873,0.54075,1.71428,0.95181,0.91744,0.96866,0.79912,0.72607,0.53343,1.91312,0.000649046,0.000649046,0.000649046
23,8005.25,0.75249,0.5271,1.69027,0.95752,0.92136,0.97319,0.80137,0.71495,0.52127,1.90764,0.000627048,0.000627048,0.000627048
24,8050.34,0.75275,0.5269,1.69197,0.96528,0.92234,0.97234,0.80067,0.70509,0.51895,1.90238,0.000605051,0.000605051,0.000605051
25,8096.71,0.73233,0.51011,1.69218,0.95276,0.92416,0.97402,0.80545,0.69993,0.51561,1.92095,0.000583053,0.000583053,0.000583053
26,8140.49,0.73406,0.50677,1.67909,0.94896,0.93504,0.97089,0.81115,0.69599,0.51269,1.89742,0.000561055,0.000561055,0.000561055
27,8183.64,0.73591,0.51427,1.68143,0.95625,0.92848,0.97258,0.80822,0.70494,0.50548,1.90799,0.000539057,0.000539057,0.000539057
28,8226.55,0.73595,0.50542,1.68444,0.97539,0.91987,0.97515,0.80652,0.69849,0.49534,1.89672,0.000517059,0.000517059,0.000517059
29,8270.94,0.72036,0.49318,1.67195,0.95913,0.93531,0.97438,0.81009,0.69977,0.49973,1.89429,0.000495062,0.000495062,0.000495062
