epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5612,1.71138,2.26473,2.32551,0.79209,0.7354,0.82271,0.54799,1.11222,1.07896,2.21309,0.000368463,0.000368463,0.000368463
2,50.6978,1.16144,1.0645,1.9802,0.87002,0.80471,0.88316,0.62551,0.98734,0.87329,2.14255,0.000724168,0.000724168,0.000724168
3,74.5917,1.05054,0.88651,1.95295,0.91693,0.83846,0.90797,0.66284,0.96061,0.77106,2.12705,0.00106521,0.00106521,0.00106521
4,98.483,1.02256,0.83092,1.94964,0.90759,0.87192,0.92665,0.69138,0.93996,0.72944,2.02565,0.00104501,0.00104501,0.00104501
5,122.494,0.97183,0.77603,1.89022,0.91463,0.87428,0.92975,0.70313,0.88049,0.71796,2.06088,0.00102301,0.00102301,0.00102301
6,146.581,0.94075,0.72163,1.8622,0.92237,0.88031,0.94148,0.72113,0.85229,0.66237,2.02661,0.00100101,0.00100101,0.00100101
7,172.48,0.92976,0.70512,1.84576,0.91517,0.89907,0.94425,0.73301,0.84231,0.63408,2.01381,0.000979013,0.000979013,0.000979013
8,196.011,0.8965,0.67052,1.84693,0.94834,0.89632,0.95523,0.74895,0.82357,0.61854,2.01827,0.000957015,0.000957015,0.000957015
9,219.87,0.88469,0.65494,1.81556,0.93762,0.89847,0.95706,0.76094,0.79763,0.60944,1.97614,0.000935018,0.000935018,0.000935018
10,244.606,0.85868,0.62991,1.79636,0.92768,0.91577,0.96239,0.76754,0.79836,0.5872,1.94837,0.00091302,0.00091302,0.00091302
11,268.722,0.84348,0.61672,1.79315,0.95739,0.90261,0.96232,0.77529,0.77081,0.57632,1.99358,0.000891022,0.000891022,0.000891022
12,293.359,0.83556,0.60852,1.77829,0.93963,0.91387,0.96488,0.77696,0.75936,0.57898,2.00184,0.000869024,0.000869024,0.000869024
13,317.711,0.82051,0.58864,1.78513,0.93455,0.9198,0.96462,0.78201,0.7505,0.56847,1.94617,0.000847026,0.000847026,0.000847026
14,341.924,0.81599,0.58425,1.76695,0.944,0.92172,0.96634,0.7756,0.75732,0.56453,1.95099,0.000825029,0.000825029,0.000825029
15,365.708,0.80562,0.57496,1.78455,0.93491,0.9115,0.9641,0.77643,0.76166,0.56992,1.90313,0.000803031,0.000803031,0.000803031
16,390.829,0.78797,0.55495,1.73621,0.95531,0.91905,0.96649,0.79151,0.73806,0.55499,1.91915,0.000781033,0.000781033,0.000781033
17,414.749,0.79185,0.55443,1.75305,0.95137,0.91729,0.96611,0.77955,0.7474,0.55282,1.93079,0.000759035,0.000759035,0.000759035
18,438.284,0.77342,0.54211,1.73545,0.95483,0.91503,0.96499,0.78913,0.73185,0.54132,1.91449,0.000737037,0.000737037,0.000737037
19,462.128,0.76925,0.53723,1.69947,0.95083,0.92163,0.96795,0.79199,0.72835,0.54844,1.96333,0.00071504,0.00071504,0.00071504
20,485.959,0.75358,0.53172,1.71319,0.94431,0.92307,0.97023,0.79116,0.72611,0.53914,1.92557,0.000693042,0.000693042,0.000693042
21,509.509,0.76741,0.53178,1.71224,0.96186,0.92022,0.97062,0.80089,0.70774,0.51572,1.91327,0.000671044,0.000671044,0.000671044
22,533.483,0.73766,0.51334,1.7032,0.96385,0.91598,0.97088,0.79684,0.71633,0.51805,1.91519,0.000649046,0.000649046,0.000649046
23,557.857,0.73852,0.51363,1.67614,0.95258,0.92644,0.97343,0.79631,0.73087,0.52816,1.89823,0.000627048,0.000627048,0.000627048
24,581.585,0.73976,0.50838,1.68209,0.94827,0.92934,0.97242,0.80058,0.70041,0.50985,1.91562,0.000605051,0.000605051,0.000605051
25,604.909,0.72108,0.48918,1.68858,0.9544,0.92814,0.9698,0.80679,0.69034,0.50781,1.90449,0.000583053,0.000583053,0.000583053
26,628.603,0.72209,0.49028,1.66428,0.96436,0.91964,0.9703,0.80828,0.68986,0.51601,1.89912,0.000561055,0.000561055,0.000561055
27,652.086,0.72571,0.50365,1.67589,0.94962,0.93468,0.97179,0.81222,0.68905,0.49766,1.88035,0.000539057,0.000539057,0.000539057
28,675.773,0.72315,0.49355,1.67452,0.95491,0.92376,0.9706,0.80457,0.69344,0.51096,1.88788,0.000517059,0.000517059,0.000517059
29,699.251,0.70695,0.47988,1.66625,0.95887,0.92587,0.97127,0.80578,0.70132,0.50535,1.86554,0.000495062,0.000495062,0.000495062
30,722.758,0.70433,0.48157,1.64854,0.96432,0.92067,0.96873,0.81379,0.6776,0.51592,1.86405,0.000473064,0.000473064,0.000473064
31,746.592,0.70161,0.48812,1.63258,0.9437,0.93393,0.97056,0.80674,0.68737,0.51507,1.89081,0.000451066,0.000451066,0.000451066
32,770.311,0.68351,0.46421,1.634,0.96006,0.93212,0.97257,0.81515,0.6822,0.49834,1.89754,0.000429068,0.000429068,0.000429068
33,794.424,0.68118,0.46195,1.64629,0.94464,0.94552,0.97404,0.8198,0.67485,0.4957,1.90154,0.00040707,0.00040707,0.00040707
34,818.697,0.68296,0.46706,1.6384,0.96437,0.91945,0.97243,0.81823,0.67292,0.50191,1.8683,0.000385073,0.000385073,0.000385073
35,843.135,0.67844,0.46182,1.62918,0.94943,0.93148,0.97514,0.82057,0.67387,0.49298,1.88996,0.000363075,0.000363075,0.000363075
36,867.678,0.667,0.449,1.6134,0.95628,0.93093,0.97426,0.81652,0.67059,0.49613,1.86786,0.000341077,0.000341077,0.000341077
37,892.444,0.66535,0.4472,1.61291,0.96195,0.92718,0.97343,0.82342,0.66792,0.4864,1.89794,0.000319079,0.000319079,0.000319079
38,917.042,0.66386,0.44522,1.63007,0.95964,0.93648,0.97674,0.8275,0.66845,0.48531,1.88323,0.000297081,0.000297081,0.000297081
39,940.717,0.65269,0.43764,1.60051,0.95572,0.94217,0.975,0.8267,0.65951,0.48102,1.88463,0.000275084,0.000275084,0.000275084
40,964.605,0.649,0.43777,1.59659,0.94961,0.93798,0.97548,0.82797,0.65379,0.48149,1.88717,0.000253086,0.000253086,0.000253086
41,1001.85,0.63061,0.41999,1.60569,0.9546,0.93278,0.97552,0.82226,0.66081,0.48889,1.89028,0.000231088,0.000231088,0.000231088
42,1026.02,0.61711,0.40796,1.61328,0.95573,0.94444,0.97376,0.83231,0.65211,0.4868,1.86838,0.00020909,0.00020909,0.00020909
43,1049.78,0.60527,0.39933,1.60601,0.96563,0.9291,0.97292,0.82972,0.64819,0.48374,1.90048,0.000187092,0.000187092,0.000187092
44,1073.23,0.59809,0.39588,1.58813,0.96109,0.93352,0.97365,0.82676,0.65991,0.4975,1.8989,0.000165095,0.000165095,0.000165095
45,1096.71,0.5874,0.3906,1.56627,0.97017,0.93195,0.97521,0.83019,0.65437,0.47581,1.88854,0.000143097,0.000143097,0.000143097
46,1120.1,0.58079,0.39016,1.57746,0.95958,0.94512,0.97501,0.83106,0.64617,0.4827,1.87706,0.000121099,0.000121099,0.000121099
47,1143.46,0.57903,0.38675,1.58399,0.9642,0.93909,0.97564,0.83737,0.64222,0.48329,1.87504,9.91012e-05,9.91012e-05,9.91012e-05
48,1167.43,0.57267,0.38431,1.55497,0.95983,0.94114,0.97476,0.83416,0.64188,0.47772,1.90088,7.71034e-05,7.71034e-05,7.71034e-05
49,1191.68,0.56594,0.37739,1.53977,0.96262,0.9427,0.97693,0.8393,0.63779,0.477,1.8802,5.51056e-05,5.51056e-05,5.51056e-05
50,1215.48,0.55969,0.37037,1.5556,0.96291,0.93961,0.97616,0.83765,0.63761,0.4804,1.87857,3.31078e-05,3.31078e-05,3.31078e-05
