epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6818,1.63288,3.14082,2.15894,0.84691,0.61762,0.68567,0.43277,1.04312,1.66933,1.95372,0.000331811,0.000331811,0.000331811
2,78.3332,1.05554,1.27328,1.87941,0.79432,0.76234,0.81778,0.58464,0.87048,1.20334,1.85782,0.000651975,0.000651975,0.000651975
3,134.331,0.98846,0.99837,1.84245,0.84489,0.83129,0.87346,0.65365,0.82683,1.02275,1.85356,0.000958938,0.000958938,0.000958938
4,186.257,0.92563,0.88351,1.80918,0.87801,0.84237,0.89532,0.67857,0.80174,0.89806,1.83343,0.0009406,0.0009406,0.0009406
5,249.116,0.87351,0.80241,1.75649,0.90006,0.8508,0.90893,0.70941,0.76306,0.88532,1.7485,0.0009208,0.0009208,0.0009208
6,315.765,0.85676,0.7568,1.75199,0.90083,0.87139,0.91593,0.71632,0.74641,0.76369,1.78874,0.000901,0.000901,0.000901
7,378.507,0.82322,0.71276,1.72495,0.91085,0.86841,0.91206,0.7202,0.72918,0.75213,1.73669,0.0008812,0.0008812,0.0008812
8,438.1,0.82924,0.71946,1.70012,0.92506,0.86564,0.92119,0.72457,0.74431,0.76669,1.75629,0.0008614,0.0008614,0.0008614
9,500.564,0.79118,0.66344,1.68606,0.91417,0.86429,0.92916,0.7451,0.70503,0.77815,1.73332,0.0008416,0.0008416,0.0008416
10,564.238,0.78503,0.65105,1.68609,0.92544,0.89751,0.93377,0.74947,0.69646,0.71293,1.7398,0.0008218,0.0008218,0.0008218
11,629.396,0.78455,0.63075,1.68822,0.92419,0.88015,0.938,0.7539,0.69612,0.85341,1.69766,0.000802,0.000802,0.000802
12,694.011,0.76414,0.61557,1.67323,0.92024,0.88855,0.9373,0.74775,0.70821,0.70273,1.71054,0.0007822,0.0007822,0.0007822
13,758.11,0.75194,0.60393,1.6217,0.93811,0.88229,0.93895,0.76717,0.67611,0.65454,1.72849,0.0007624,0.0007624,0.0007624
