epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5409,1.47627,1.99566,2.2535,0.77749,0.80408,0.86059,0.60469,0.98661,0.95314,2.20119,0.000368463,0.000368463,0.000368463
2,128.489,1.04466,0.93171,1.9744,0.89739,0.83852,0.90963,0.68212,0.89707,0.79283,2.17094,0.000731482,0.000731482,0.000731482
3,190.745,1.00395,0.82214,1.9965,0.89786,0.85309,0.91288,0.68902,0.90557,0.76819,2.15142,0.00108717,0.00108717,0.00108717
4,252.651,0.97351,0.79051,1.96735,0.91318,0.87631,0.93828,0.72864,0.86323,0.68627,2.06428,0.001078,0.001078,0.001078
5,315.025,0.9239,0.71923,1.91268,0.92555,0.88362,0.94596,0.73877,0.84099,0.65916,2.1164,0.001067,0.001067,0.001067
6,376.833,0.91339,0.69401,1.89939,0.92496,0.88654,0.94534,0.74083,0.82136,0.64494,2.03166,0.00105601,0.00105601,0.00105601
7,438.679,0.88815,0.65336,1.88937,0.9256,0.88923,0.94551,0.74276,0.80448,0.64211,2.07725,0.00104501,0.00104501,0.00104501
8,499.918,0.86176,0.63706,1.87259,0.93037,0.90677,0.95973,0.77428,0.77247,0.58306,2.02724,0.00103401,0.00103401,0.00103401
9,560.091,0.84725,0.61094,1.84192,0.93625,0.90039,0.95842,0.75781,0.79976,0.59217,1.98155,0.00102301,0.00102301,0.00102301
10,620.089,0.82401,0.58915,1.82582,0.95018,0.89634,0.96154,0.77423,0.75735,0.56632,2.01601,0.00101201,0.00101201,0.00101201
11,679.711,0.8162,0.58479,1.83098,0.94365,0.91552,0.96248,0.78772,0.76001,0.55474,2.02434,0.00100101,0.00100101,0.00100101
12,739.775,0.80715,0.57772,1.80737,0.93112,0.91518,0.96131,0.77758,0.75675,0.55771,2.00552,0.000990012,0.000990012,0.000990012
13,799.464,0.79075,0.55413,1.80217,0.96205,0.90381,0.96341,0.79441,0.72427,0.54155,2.00546,0.000979013,0.000979013,0.000979013
14,859.319,0.79161,0.55372,1.79519,0.95338,0.91822,0.96583,0.78209,0.76291,0.54598,1.98446,0.000968014,0.000968014,0.000968014
15,920.186,0.80087,0.55293,1.83356,0.96031,0.91457,0.96702,0.78532,0.73882,0.54251,1.98146,0.000957015,0.000957015,0.000957015
16,980.175,0.76314,0.52632,1.77297,0.94293,0.92224,0.96586,0.78966,0.73409,0.52479,1.98612,0.000946016,0.000946016,0.000946016
17,1039.84,0.76135,0.52661,1.77798,0.94289,0.92424,0.96874,0.79418,0.74167,0.53814,2.00071,0.000935018,0.000935018,0.000935018
