epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7744,2.20449,3.64364,2.76143,0.46992,0.44365,0.4203,0.19887,1.77623,2.52342,2.76416,0.000361075,0.000361075,0.000361075
2,26.5824,1.52441,1.91628,2.42045,0.66625,0.71132,0.726,0.4191,1.46529,1.75442,2.3889,0.000724167,0.000724167,0.000724167
3,39.1032,1.37577,1.53437,2.31997,0.75103,0.69092,0.75648,0.46972,1.27777,1.21057,2.37414,0.00107993,0.00107993,0.00107993
4,51.2279,1.28515,1.35436,2.31069,0.7349,0.74817,0.80705,0.50066,1.27737,1.20073,2.44202,0.001078,0.001078,0.001078
5,63.3862,1.21438,1.18676,2.29302,0.86283,0.78736,0.86987,0.55291,1.2196,1.06796,2.57036,0.001067,0.001067,0.001067
6,75.3732,1.17103,1.08599,2.23883,0.81297,0.82082,0.85529,0.58985,1.13441,0.99245,2.53053,0.00105601,0.00105601,0.00105601
7,87.2782,1.14793,1.00215,2.21014,0.87975,0.78286,0.87685,0.58359,1.19197,0.98257,2.40052,0.00104501,0.00104501,0.00104501
8,98.7545,1.1218,0.93224,2.14764,0.8713,0.83976,0.89902,0.62189,1.14162,0.90316,2.36837,0.00103401,0.00103401,0.00103401
9,110.415,1.10142,0.89966,2.08949,0.85645,0.88403,0.90863,0.60673,1.17595,0.89651,2.24867,0.00102301,0.00102301,0.00102301
10,122.238,1.08037,0.88192,2.06638,0.89429,0.88729,0.91648,0.61776,1.11693,0.83666,2.23835,0.00101201,0.00101201,0.00101201
11,134.256,1.0611,0.86511,2.08531,0.88074,0.86841,0.90901,0.62814,1.10497,0.84788,2.17914,0.00100101,0.00100101,0.00100101
12,146.584,1.04064,0.82479,2.10196,0.87702,0.87758,0.92104,0.64576,1.10451,0.86231,2.12425,0.000990012,0.000990012,0.000990012
13,157.933,1.02864,0.81001,2.07647,0.86893,0.88437,0.913,0.65545,1.04231,0.861,2.43458,0.000979013,0.000979013,0.000979013
14,169.689,1.00907,0.79387,2.05111,0.88204,0.87934,0.92022,0.6653,1.02508,0.78492,2.16986,0.000968014,0.000968014,0.000968014
15,181.291,1.00357,0.76087,2.01356,0.90143,0.86926,0.92473,0.64413,1.07145,0.81511,2.14963,0.000957015,0.000957015,0.000957015
16,192.864,0.96671,0.73116,1.98634,0.86183,0.87744,0.9234,0.65213,1.05941,0.7949,2.21356,0.000946016,0.000946016,0.000946016
17,204.681,0.99203,0.74977,2.03395,0.90967,0.88726,0.9226,0.6602,1.05135,0.79964,2.19433,0.000935018,0.000935018,0.000935018
18,216.132,0.95984,0.71416,1.98365,0.91103,0.8909,0.92888,0.65238,1.07671,0.78675,2.25475,0.000924019,0.000924019,0.000924019
19,228.477,0.94024,0.70703,1.99075,0.9113,0.85591,0.9209,0.66994,1.0109,0.76711,2.24601,0.00091302,0.00091302,0.00091302
20,240.008,0.93677,0.69205,1.9884,0.91089,0.87995,0.93405,0.67302,1.02244,0.73992,2.23567,0.000902021,0.000902021,0.000902021
21,251.81,0.94281,0.67872,1.93594,0.8933,0.88006,0.93668,0.66305,1.07693,0.77474,2.20627,0.000891022,0.000891022,0.000891022
22,263.308,0.92952,0.68529,1.98668,0.88831,0.88916,0.93292,0.67308,1.03419,0.75789,2.20235,0.000880023,0.000880023,0.000880023
23,275.299,0.90692,0.66952,1.97888,0.89143,0.89795,0.92995,0.66464,1.02167,0.77237,2.27345,0.000869024,0.000869024,0.000869024
24,286.438,0.92764,0.67747,2.00878,0.93068,0.88541,0.94424,0.69139,1.00817,0.71978,2.24276,0.000858025,0.000858025,0.000858025
25,298.032,0.88277,0.64903,1.91771,0.90121,0.91045,0.93764,0.67933,1.018,0.71004,2.14015,0.000847026,0.000847026,0.000847026
26,309.267,0.88823,0.63594,1.96746,0.89736,0.90433,0.94462,0.67649,1.03242,0.73151,2.1337,0.000836027,0.000836027,0.000836027
27,320.619,0.90438,0.63858,1.93096,0.91583,0.88646,0.9335,0.68748,1.02136,0.73485,2.17541,0.000825029,0.000825029,0.000825029
28,332.611,0.84532,0.59905,1.91036,0.92491,0.8833,0.92804,0.68972,0.99336,0.71925,2.22149,0.00081403,0.00081403,0.00081403
29,344.211,0.87716,0.61995,1.89986,0.89973,0.87686,0.91636,0.68151,1.01034,0.72862,2.13906,0.000803031,0.000803031,0.000803031
30,355.942,0.86168,0.61403,1.94014,0.935,0.86378,0.94593,0.71132,0.97676,0.70578,2.19533,0.000792032,0.000792032,0.000792032
31,367.9,0.86592,0.61426,1.88737,0.90475,0.89171,0.94312,0.70194,0.98439,0.69765,2.19816,0.000781033,0.000781033,0.000781033
32,380.012,0.8364,0.59845,1.92265,0.91396,0.87504,0.9377,0.68677,0.98468,0.70415,2.20095,0.000770034,0.000770034,0.000770034
33,392.475,0.81329,0.5614,1.85906,0.90324,0.87563,0.92639,0.69804,0.96416,0.7281,2.20204,0.000759035,0.000759035,0.000759035
34,404.991,0.81335,0.57639,1.83611,0.9268,0.89195,0.93659,0.7114,0.9562,0.70177,2.16735,0.000748036,0.000748036,0.000748036
35,417.88,0.8138,0.56893,1.85569,0.89072,0.91187,0.93528,0.69969,0.97722,0.70551,2.16136,0.000737037,0.000737037,0.000737037
36,430.048,0.80177,0.57169,1.83995,0.88119,0.89052,0.93989,0.68509,0.99789,0.70409,2.1325,0.000726038,0.000726038,0.000726038
37,441.513,0.82817,0.56864,1.84285,0.88038,0.91399,0.93344,0.69857,0.98867,0.70167,2.10474,0.00071504,0.00071504,0.00071504
38,453.067,0.7991,0.5601,1.84877,0.92137,0.89249,0.93531,0.70661,0.96744,0.68737,2.2006,0.000704041,0.000704041,0.000704041
39,464.954,0.79858,0.54677,1.80546,0.90712,0.89109,0.9337,0.69169,0.97693,0.71187,2.10535,0.000693042,0.000693042,0.000693042
40,476.851,0.79353,0.54783,1.80037,0.92472,0.89172,0.93972,0.70586,0.9596,0.68854,2.18618,0.000682043,0.000682043,0.000682043
41,488.304,0.78607,0.55856,1.79866,0.94059,0.8763,0.9407,0.71102,0.96446,0.68069,2.11299,0.000671044,0.000671044,0.000671044
42,499.396,0.77898,0.52612,1.76416,0.918,0.86298,0.9295,0.69743,0.98183,0.69329,2.14995,0.000660045,0.000660045,0.000660045
43,510.71,0.76041,0.52765,1.80282,0.83736,0.90071,0.93085,0.6908,0.98791,0.71655,2.16008,0.000649046,0.000649046,0.000649046
44,522.629,0.77943,0.53175,1.7871,0.90342,0.9026,0.94699,0.70816,0.97507,0.69359,2.10726,0.000638047,0.000638047,0.000638047
45,533.903,0.76191,0.5402,1.8007,0.93143,0.88894,0.93699,0.70136,0.98561,0.68212,2.1351,0.000627048,0.000627048,0.000627048
46,545.122,0.73927,0.51345,1.81566,0.92494,0.90725,0.9452,0.71339,0.96977,0.66833,2.18529,0.000616049,0.000616049,0.000616049
47,557.444,0.75591,0.52811,1.80877,0.89245,0.89337,0.92512,0.68985,0.97621,0.68792,2.08932,0.000605051,0.000605051,0.000605051
48,568.873,0.75798,0.51536,1.73887,0.92011,0.88971,0.92777,0.70052,0.97331,0.69079,2.13188,0.000594052,0.000594052,0.000594052
49,580.6,0.75539,0.51116,1.79229,0.92758,0.8753,0.93465,0.71192,0.9281,0.67166,2.14085,0.000583053,0.000583053,0.000583053
50,592.88,0.75017,0.51987,1.71554,0.90405,0.9037,0.93687,0.72439,0.92988,0.66181,2.1407,0.000572054,0.000572054,0.000572054
51,605.02,0.75789,0.52652,1.7158,0.92132,0.88148,0.92708,0.71093,0.94757,0.68087,2.10868,0.000561055,0.000561055,0.000561055
52,616.446,0.72639,0.49194,1.73429,0.92756,0.90571,0.93212,0.72311,0.94142,0.6757,2.14058,0.000550056,0.000550056,0.000550056
53,628.425,0.71203,0.49291,1.71649,0.91442,0.9008,0.93125,0.71024,0.93218,0.69118,2.1876,0.000539057,0.000539057,0.000539057
54,640.771,0.7322,0.49255,1.7778,0.92688,0.86273,0.93575,0.70872,0.96696,0.69936,2.07623,0.000528058,0.000528058,0.000528058
55,652.818,0.72002,0.48689,1.74888,0.92645,0.88951,0.94061,0.71505,0.93389,0.67983,2.14357,0.000517059,0.000517059,0.000517059
56,664.719,0.71201,0.47909,1.71411,0.90509,0.90657,0.9283,0.71327,0.94098,0.67258,2.13482,0.00050606,0.00050606,0.00050606
57,676.631,0.70086,0.47314,1.67304,0.92208,0.90062,0.92847,0.72189,0.94692,0.6788,2.1584,0.000495062,0.000495062,0.000495062
58,688.64,0.70482,0.47796,1.69118,0.90842,0.91485,0.93485,0.72019,0.95289,0.68401,2.12765,0.000484063,0.000484063,0.000484063
59,700.806,0.68733,0.47743,1.68415,0.89153,0.9208,0.94219,0.72549,0.94306,0.69265,2.085,0.000473064,0.000473064,0.000473064
60,713.09,0.68194,0.47942,1.68417,0.91899,0.90473,0.92955,0.71421,0.95357,0.67668,2.25733,0.000462065,0.000462065,0.000462065
61,725.258,0.67769,0.45976,1.70185,0.91891,0.88201,0.93042,0.70867,0.93042,0.70195,2.16183,0.000451066,0.000451066,0.000451066
62,737.262,0.67625,0.46702,1.6869,0.91497,0.87661,0.93239,0.71766,0.93248,0.67794,2.17823,0.000440067,0.000440067,0.000440067
63,749.471,0.67188,0.46601,1.6444,0.92192,0.87846,0.94025,0.72244,0.92948,0.66352,2.20606,0.000429068,0.000429068,0.000429068
64,761.665,0.66033,0.4676,1.70073,0.9234,0.9133,0.95005,0.73485,0.92888,0.632,2.11566,0.000418069,0.000418069,0.000418069
65,800.939,0.66969,0.45913,1.68322,0.90259,0.91159,0.94883,0.74086,0.91498,0.64645,2.12489,0.00040707,0.00040707,0.00040707
66,846.837,0.65946,0.44875,1.66136,0.92923,0.9067,0.94913,0.73274,0.92675,0.65641,2.11305,0.000396071,0.000396071,0.000396071
67,888.716,0.65212,0.44712,1.60803,0.93231,0.90104,0.94816,0.73824,0.91994,0.64163,2.09289,0.000385073,0.000385073,0.000385073
68,925.735,0.64258,0.44477,1.64742,0.94991,0.91961,0.95467,0.73742,0.90936,0.62865,2.10895,0.000374074,0.000374074,0.000374074
69,960.649,0.64147,0.44186,1.64035,0.91882,0.91625,0.95028,0.74292,0.88068,0.62279,2.05442,0.000363075,0.000363075,0.000363075
70,988.731,0.64585,0.43999,1.63494,0.91914,0.90506,0.95257,0.74115,0.91073,0.63277,2.16493,0.000352076,0.000352076,0.000352076
71,1003.44,0.6468,0.44641,1.65099,0.92407,0.9134,0.94897,0.73454,0.91126,0.63596,2.15029,0.000341077,0.000341077,0.000341077
72,1016.63,0.65126,0.44938,1.62363,0.91984,0.91453,0.94664,0.74466,0.90807,0.64655,2.17941,0.000330078,0.000330078,0.000330078
73,1029.55,0.64858,0.43954,1.63104,0.94659,0.88866,0.9416,0.74143,0.89873,0.6491,2.16604,0.000319079,0.000319079,0.000319079
74,1043.23,0.65682,0.44316,1.6396,0.93805,0.89676,0.94503,0.73222,0.92202,0.64842,2.14319,0.00030808,0.00030808,0.00030808
75,1056.1,0.62701,0.44068,1.63332,0.9319,0.9027,0.94762,0.73685,0.92461,0.64781,2.11866,0.000297081,0.000297081,0.000297081
76,1069.33,0.62444,0.43153,1.62157,0.88383,0.92211,0.94646,0.73974,0.91136,0.63508,2.14338,0.000286083,0.000286083,0.000286083
77,1082.67,0.62089,0.41919,1.57343,0.95796,0.8906,0.95085,0.74405,0.90431,0.62888,2.16817,0.000275084,0.000275084,0.000275084
78,1097.36,0.6197,0.4222,1.60112,0.93147,0.89603,0.94496,0.74146,0.89523,0.62515,2.07336,0.000264085,0.000264085,0.000264085
79,1110.36,0.6245,0.42911,1.61568,0.92882,0.90626,0.94479,0.74056,0.90358,0.64008,2.11429,0.000253086,0.000253086,0.000253086
80,1123.42,0.60918,0.42106,1.61575,0.90624,0.91394,0.94445,0.73758,0.89927,0.63338,2.08139,0.000242087,0.000242087,0.000242087
81,1137.25,0.60877,0.43,1.5975,0.94543,0.88522,0.94776,0.74486,0.90089,0.63392,2.15263,0.000231088,0.000231088,0.000231088
82,1150.77,0.59796,0.41428,1.59721,0.93293,0.88375,0.93793,0.73477,0.88697,0.63055,2.09951,0.000220089,0.000220089,0.000220089
83,1163.78,0.6138,0.42299,1.59931,0.92685,0.91364,0.94762,0.73966,0.89386,0.62908,2.18069,0.00020909,0.00020909,0.00020909
84,1184.88,0.59215,0.41289,1.60004,0.93364,0.91043,0.94687,0.74621,0.89286,0.63415,2.20278,0.000198091,0.000198091,0.000198091
85,1200.1,0.59418,0.40825,1.55546,0.91287,0.91916,0.94455,0.74807,0.88065,0.63504,2.171,0.000187092,0.000187092,0.000187092
86,1214.04,0.57831,0.40616,1.55824,0.92416,0.92013,0.95232,0.74822,0.88412,0.62619,2.18334,0.000176094,0.000176094,0.000176094
87,1227.43,0.57206,0.39853,1.56001,0.94112,0.90836,0.95044,0.75041,0.88308,0.62555,2.1594,0.000165095,0.000165095,0.000165095
88,1246.05,0.57807,0.40735,1.57166,0.93616,0.91897,0.94708,0.75112,0.88245,0.63283,2.14084,0.000154096,0.000154096,0.000154096
89,1260.67,0.58714,0.40745,1.57754,0.9265,0.91536,0.94504,0.74762,0.88181,0.63256,2.17433,0.000143097,0.000143097,0.000143097
90,1274.27,0.58592,0.40893,1.55312,0.93636,0.90019,0.94299,0.74695,0.88396,0.63586,2.15351,0.000132098,0.000132098,0.000132098
91,1315.74,0.55072,0.38244,1.53438,0.90794,0.89877,0.93763,0.74091,0.88611,0.66232,2.13315,0.000121099,0.000121099,0.000121099
92,1329.48,0.54595,0.38381,1.57778,0.92817,0.88311,0.93725,0.73832,0.88762,0.66702,2.13472,0.0001101,0.0001101,0.0001101
93,1342.69,0.54249,0.37727,1.55843,0.92908,0.91131,0.9425,0.7455,0.87862,0.65036,2.18696,9.91012e-05,9.91012e-05,9.91012e-05
94,1356.63,0.54034,0.37837,1.5393,0.90979,0.92243,0.94285,0.74504,0.88783,0.66189,2.12125,8.81023e-05,8.81023e-05,8.81023e-05
95,1368.93,0.53728,0.38212,1.54539,0.90725,0.9144,0.94248,0.74843,0.88124,0.65412,2.07761,7.71034e-05,7.71034e-05,7.71034e-05
96,1381.33,0.53203,0.38028,1.52972,0.90622,0.91989,0.94355,0.74669,0.88553,0.64735,2.1027,6.61045e-05,6.61045e-05,6.61045e-05
97,1393.69,0.51629,0.37022,1.49887,0.90831,0.92445,0.94357,0.74623,0.89064,0.64917,2.14242,5.51056e-05,5.51056e-05,5.51056e-05
98,1406.02,0.52621,0.3833,1.52936,0.91927,0.92307,0.94671,0.74975,0.88554,0.63422,2.15853,4.41067e-05,4.41067e-05,4.41067e-05
99,1418.25,0.51153,0.36935,1.50532,0.92714,0.91703,0.94697,0.74783,0.88858,0.63216,2.14512,3.31078e-05,3.31078e-05,3.31078e-05
100,1430.64,0.50517,0.36877,1.54361,0.92699,0.91507,0.9467,0.74766,0.8827,0.63715,2.1287,2.21089e-05,2.21089e-05,2.21089e-05
