epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75737,2.85725,4.28527,3.37099,0.02973,0.18412,0.02454,0.00917,2.23859,3.57863,3.27862,0.0002222,0.0002222,0.0002222
2,13.9748,2.33428,3.30586,2.84768,0.51643,0.3788,0.33775,0.15508,1.86271,2.93537,3.01175,0.000454007,0.000454007,0.000454007
3,19.9759,2.05963,2.50945,2.58111,0.42326,0.56532,0.52134,0.28666,1.65418,2.09025,2.78932,0.000684274,0.000684274,0.000684274
4,25.8788,1.80393,2.30043,2.623,0.66127,0.54852,0.61102,0.35041,1.49366,1.81662,2.8306,0.000913001,0.000913001,0.000913001
5,31.6034,1.73856,1.96758,2.7293,0.61895,0.63062,0.66385,0.39076,1.4248,1.50788,2.58844,0.00109633,0.00109633,0.00109633
6,37.382,1.63257,1.70964,2.54095,0.69495,0.69613,0.71586,0.44669,1.35237,1.42066,2.6463,0.00109267,0.00109267,0.00109267
7,43.031,1.65076,1.66193,2.55139,0.68314,0.71116,0.75337,0.45569,1.42316,1.38948,2.58068,0.001089,0.001089,0.001089
8,48.8802,1.5518,1.51523,2.49783,0.76008,0.68399,0.77318,0.50103,1.34287,1.27743,2.49329,0.00108534,0.00108534,0.00108534
9,55.6037,1.51144,1.43211,2.52765,0.75148,0.71911,0.7788,0.50351,1.33849,1.29655,2.52337,0.00108167,0.00108167,0.00108167
10,61.2815,1.40477,1.27978,2.2101,0.77204,0.71483,0.78012,0.51785,1.299,1.24587,2.45682,0.001078,0.001078,0.001078
11,66.9885,1.34908,1.23198,2.30714,0.80402,0.71347,0.81391,0.51871,1.33054,1.17333,2.53254,0.00107434,0.00107434,0.00107434
12,73.3524,1.40053,1.20292,2.425,0.76509,0.75388,0.80237,0.51042,1.33745,1.26397,2.55903,0.00107067,0.00107067,0.00107067
13,79.2787,1.32728,1.13458,2.29441,0.84216,0.71522,0.82516,0.52548,1.3147,1.17076,2.38917,0.001067,0.001067,0.001067
14,85.5683,1.31609,1.09247,2.28495,0.84379,0.72567,0.84004,0.53931,1.26524,1.07105,2.37163,0.00106334,0.00106334,0.00106334
15,91.7276,1.30102,1.11953,2.21536,0.76045,0.79385,0.83717,0.53689,1.23386,1.05883,2.31636,0.00105967,0.00105967,0.00105967
16,97.5356,1.273,1.02933,2.16049,0.81756,0.75346,0.83339,0.53712,1.25966,1.07005,2.31886,0.00105601,0.00105601,0.00105601
17,103.385,1.23387,0.97378,2.21463,0.73922,0.76609,0.81337,0.53305,1.24848,1.08793,2.43668,0.00105234,0.00105234,0.00105234
18,109.165,1.22086,0.9965,2.17014,0.78662,0.75747,0.82656,0.52977,1.22023,1.04325,2.37162,0.00104867,0.00104867,0.00104867
20,120.572,1.1893,0.92346,2.19262,0.79146,0.83069,0.86098,0.57741,1.21548,0.9814,2.23274,0.00104134,0.00104134,0.00104134
21,126.047,1.16295,0.88644,2.10714,0.87103,0.80555,0.87177,0.5909,1.22523,0.93891,2.22049,0.00103767,0.00103767,0.00103767
22,132.075,1.18034,0.91497,2.10173,0.82436,0.74637,0.8486,0.58995,1.13964,0.99002,2.2574,0.00103401,0.00103401,0.00103401
23,137.752,1.15581,0.87388,2.13142,0.77813,0.8296,0.85974,0.58803,1.19727,1.00803,2.30761,0.00103034,0.00103034,0.00103034
24,143.456,1.08125,0.8495,2.04491,0.87103,0.77348,0.87034,0.59199,1.18325,0.99326,2.31616,0.00102668,0.00102668,0.00102668
25,149.367,1.13432,0.96917,2.041,0.80776,0.79719,0.85037,0.58051,1.17234,0.99067,2.24392,0.00102301,0.00102301,0.00102301
26,155.082,1.0655,0.8195,2.13412,0.83234,0.82496,0.8529,0.58389,1.16321,0.91168,2.2824,0.00101934,0.00101934,0.00101934
27,161.406,1.08996,0.83789,2.02322,0.81813,0.81021,0.85549,0.59526,1.13793,0.90875,2.23238,0.00101568,0.00101568,0.00101568
28,167.182,1.07465,0.82935,2.04618,0.85188,0.75901,0.84871,0.58526,1.1629,0.92869,2.29712,0.00101201,0.00101201,0.00101201
29,172.861,1.01252,1.05495,1.92202,0.83819,0.79622,0.85674,0.60363,1.15461,0.93134,2.24351,0.00100834,0.00100834,0.00100834
30,178.979,1.05649,0.80925,2.00685,0.85147,0.80065,0.87083,0.62397,1.16487,0.95286,2.25841,0.00100468,0.00100468,0.00100468
31,184.6,1.05572,0.79057,2.08713,0.87957,0.79139,0.88459,0.61094,1.14766,0.9273,2.27773,0.00100101,0.00100101,0.00100101
32,190.619,1.04269,0.78986,2.07075,0.81344,0.79856,0.88332,0.62751,1.13264,0.92046,2.22453,0.000997345,0.000997345,0.000997345
33,196.193,1.02918,0.77948,2.0558,0.83661,0.79221,0.8739,0.60624,1.14412,0.8566,2.32619,0.000993678,0.000993678,0.000993678
34,201.959,1.03506,0.77465,2.05067,0.83736,0.78892,0.86331,0.60067,1.11673,0.86046,2.27842,0.000990012,0.000990012,0.000990012
35,207.725,1.05816,0.80176,1.99444,0.85967,0.81489,0.8668,0.60945,1.11084,0.86735,2.28388,0.000986346,0.000986346,0.000986346
36,213.21,1.02633,0.75787,2.02577,0.79109,0.79032,0.83462,0.58602,1.16851,1.00902,2.29709,0.000982679,0.000982679,0.000982679
37,219.127,1.00048,0.71464,2.00093,0.79815,0.78202,0.84281,0.58812,1.15869,0.9908,2.24935,0.000979013,0.000979013,0.000979013
38,225.133,0.983,0.73161,2.04535,0.84864,0.73631,0.83469,0.59511,1.12323,0.9592,2.27635,0.000975347,0.000975347,0.000975347
39,231.085,0.99025,0.73286,1.99704,0.81601,0.78923,0.8348,0.58698,1.12365,0.88733,2.25551,0.000971681,0.000971681,0.000971681
40,237.317,0.97755,0.71557,1.97658,0.86699,0.73565,0.84753,0.59769,1.1725,0.91285,2.33011,0.000968014,0.000968014,0.000968014
41,243.018,0.98,0.71118,1.92713,0.85848,0.76424,0.84068,0.6004,1.14594,0.89149,2.23172,0.000964348,0.000964348,0.000964348
42,248.906,0.97183,0.72774,2.08697,0.83294,0.78811,0.83656,0.59918,1.13848,0.91381,2.23853,0.000960682,0.000960682,0.000960682
43,254.67,0.97305,0.69044,1.98351,0.87416,0.80039,0.85791,0.60858,1.12486,0.86214,2.23695,0.000957015,0.000957015,0.000957015
